time,value
2022-10-05T07:31:33.016Z,100
2022-10-05T07:31:34.888Z,99
2022-10-05T07:31:45.29Z,98
2022-10-05T07:31:47.156Z,99
2022-10-05T07:31:51.727Z,98
2022-10-05T07:32:09.156Z,97
2022-10-05T07:32:11.027Z,98
2022-10-05T07:32:13.222Z,97
2022-10-05T07:32:24.607Z,96
2022-10-05T07:32:27.898Z,97
2022-10-05T07:32:31.09Z,96
2022-10-05T07:32:37.037Z,95
2022-10-05T07:32:38.928Z,96
2022-10-05T07:32:40.813Z,95
2022-10-05T07:32:57.52Z,94
2022-10-05T07:33:01.315Z,93
2022-10-05T07:33:03.211Z,94
2022-10-05T07:33:05.106Z,93
2022-10-05T07:33:11.104Z,92
2022-10-05T07:33:18.796Z,93
2022-10-05T07:33:20.683Z,92
2022-10-05T07:33:29.9Z,91
2022-10-05T07:33:39.004Z,90
2022-10-05T07:33:42.22Z,91
2022-10-05T07:33:44.088Z,90
2022-10-05T07:34:04.292Z,89
2022-10-05T07:34:07.543Z,90
2022-10-05T07:34:10.787Z,89
2022-10-05T07:34:12.693Z,88
2022-10-05T07:34:20.877Z,89
2022-10-05T07:34:22.756Z,88
2022-10-05T07:34:30.635Z,87
2022-10-05T07:34:40.659Z,86
2022-10-05T07:34:42.55Z,87
2022-10-05T07:34:44.426Z,86
2022-10-05T07:35:14.413Z,85
2022-10-05T07:35:36.899Z,84
2022-10-05T07:35:38.759Z,85
2022-10-05T07:35:42.014Z,84
2022-10-05T07:36:19.291Z,83
2022-10-05T07:38:13.768Z,82
2022-10-05T07:38:15.698Z,83
2022-10-05T07:38:27.624Z,82
2022-10-05T07:38:29.482Z,83
2022-10-05T07:38:38.288Z,82
2022-10-05T07:38:40.198Z,83
2022-10-05T07:38:42.088Z,82
2022-10-05T07:38:44.002Z,83
2022-10-05T07:38:47.292Z,82
2022-10-05T07:38:49.17Z,83
2022-10-05T07:38:59.666Z,82
2022-10-05T07:39:02.958Z,83
2022-10-05T07:39:04.847Z,82
2022-10-05T07:39:06.755Z,83
2022-10-05T07:39:22.985Z,82
2022-10-05T07:39:25.184Z,83
2022-10-05T07:39:29.823Z,82
2022-10-05T07:39:31.736Z,83
2022-10-05T07:39:33.61Z,82
2022-10-05T07:39:35.517Z,83
2022-10-05T07:39:44.849Z,82
2022-10-05T07:39:46.743Z,83
2022-10-05T07:39:48.653Z,82
2022-10-05T07:39:50.549Z,83
2022-10-05T07:39:58.281Z,82
2022-10-05T07:40:00.162Z,83
2022-10-05T07:40:02.077Z,82
2022-10-05T07:40:03.961Z,83
2022-10-05T07:40:08.642Z,82
2022-10-05T07:40:11.938Z,83
2022-10-05T07:40:19.896Z,82
2022-10-05T07:40:23.177Z,83
2022-10-05T07:40:28.16Z,82
2022-10-05T07:40:31.447Z,83
2022-10-05T07:40:36.098Z,82
2022-10-05T07:40:38.012Z,83
2022-10-05T07:40:39.897Z,82
2022-10-05T07:40:41.805Z,83
2022-10-05T07:40:43.688Z,82
2022-10-05T07:40:48.915Z,83
2022-10-05T07:40:57.161Z,82
2022-10-05T07:40:59.073Z,83
2022-10-05T07:41:00.97Z,82
2022-10-05T07:41:04.248Z,83
2022-10-05T07:41:07.531Z,82
2022-10-05T07:41:09.44Z,83
2022-10-05T07:41:12.715Z,82
2022-10-05T07:41:14.593Z,83
2022-10-05T07:41:17.878Z,82
2022-10-05T07:41:19.785Z,83
2022-10-05T07:41:21.686Z,82
2022-10-05T07:41:23.613Z,83
2022-10-05T07:41:25.52Z,82
2022-10-05T07:41:27.787Z,83
2022-10-05T07:41:31.059Z,82
2022-10-05T07:41:32.969Z,83
2022-10-05T07:41:39.039Z,82
2022-10-05T07:41:42.322Z,83
2022-10-05T07:41:44.229Z,82
2022-10-05T07:41:46.116Z,83
2022-10-05T07:41:48.021Z,82
2022-10-05T07:41:52.658Z,83
2022-10-05T07:41:54.564Z,82
2022-10-05T07:41:56.46Z,83
2022-10-05T07:41:58.68Z,82
2022-10-05T07:42:00.599Z,83
2022-10-05T07:42:02.504Z,82
2022-10-05T07:42:04.401Z,83
2022-10-05T07:42:06.316Z,82
2022-10-05T07:42:09.622Z,83
2022-10-05T07:42:12.955Z,82
2022-10-05T07:42:19.103Z,83
2022-10-05T07:42:22.486Z,82
2022-10-05T07:42:27.972Z,83
2022-10-05T07:42:31.547Z,82
2022-10-05T07:42:33.451Z,83
2022-10-05T07:42:35.364Z,82
2022-10-05T07:42:39.166Z,83
2022-10-05T07:42:41.085Z,82
2022-10-05T07:42:42.967Z,83
2022-10-05T07:42:51.43Z,82
2022-10-05T07:42:53.328Z,83
2022-10-05T07:42:57.138Z,82
2022-10-05T07:43:01.286Z,83
2022-10-05T07:43:04.588Z,82
2022-10-05T07:43:23.307Z,83
2022-10-05T07:43:25.222Z,82
2022-10-05T07:43:27.175Z,83
2022-10-05T07:43:29.071Z,82
2022-10-05T07:43:40.213Z,83
2022-10-05T07:43:42.119Z,82
2022-10-05T07:43:55.119Z,83
2022-10-05T07:43:57.018Z,82
2022-10-05T07:44:50.501Z,83
2022-10-05T07:44:52.439Z,82
2022-10-05T07:45:16.105Z,83
2022-10-05T07:45:17.999Z,82
2022-10-05T07:45:25.497Z,83
2022-10-05T07:45:27.409Z,82
2022-10-05T07:45:29.339Z,83
2022-10-05T07:45:31.232Z,82
2022-10-05T07:45:57.211Z,83
2022-10-05T07:45:59.128Z,82
2022-10-05T07:46:13.895Z,81
2022-10-05T07:46:17.216Z,82
2022-10-05T07:46:23.304Z,81
2022-10-05T07:46:25.213Z,82
2022-10-05T07:46:41.408Z,81
2022-10-05T07:46:43.3Z,82
2022-10-05T07:47:11.656Z,81
2022-10-05T07:47:13.54Z,82
2022-10-05T07:47:18.242Z,81
2022-10-05T07:47:20.139Z,82
2022-10-05T07:47:52.205Z,81
2022-10-05T07:47:54.095Z,82
2022-10-05T07:48:32.996Z,81
2022-10-05T07:48:34.923Z,82
2022-10-05T07:48:38.5Z,81
2022-10-05T07:48:41.782Z,82
2022-10-05T07:48:43.673Z,81
2022-10-05T07:48:46.949Z,82
2022-10-05T07:48:48.856Z,81
2022-10-05T07:48:50.755Z,82
2022-10-05T07:48:54.563Z,81
2022-10-05T07:48:56.511Z,82
2022-10-05T07:49:06.672Z,81
2022-10-05T07:49:08.894Z,82
2022-10-05T07:49:12.941Z,81
2022-10-05T07:49:15.607Z,82
2022-10-05T07:49:17.51Z,81
2022-10-05T07:49:19.381Z,82
2022-10-05T07:49:21.313Z,81
2022-10-05T07:49:23.22Z,82
2022-10-05T07:49:37.264Z,81
2022-10-05T07:49:40.837Z,82
2022-10-05T07:49:49.317Z,81
2022-10-05T07:49:53.94Z,82
2022-10-05T07:50:03.49Z,81
2022-10-05T07:50:07.278Z,82
2022-10-05T07:50:12.222Z,81
2022-10-05T07:50:14.108Z,82
2022-10-05T07:50:17.383Z,81
2022-10-05T07:50:22.03Z,82
2022-10-05T07:50:28.033Z,81
2022-10-05T07:50:30.684Z,82
2022-10-05T07:50:34.476Z,81
2022-10-05T07:50:42.671Z,82
2022-10-05T07:50:45.908Z,81
2022-10-05T07:50:49.145Z,82
2022-10-05T07:50:52.412Z,81
2022-10-05T07:50:55.61Z,82
2022-10-05T07:50:57.498Z,81
2022-10-05T07:51:13.248Z,82
2022-10-05T07:51:15.144Z,81
2022-10-05T07:51:17.043Z,82
2022-10-05T07:51:20.262Z,81
2022-10-05T07:51:36.227Z,82
2022-10-05T07:51:38.089Z,81
2022-10-05T07:51:41.316Z,82
2022-10-05T07:51:43.506Z,81
2022-10-05T07:51:49.46Z,82
2022-10-05T07:51:51.331Z,81
2022-10-05T07:52:04.81Z,82
2022-10-05T07:52:08.828Z,81
2022-10-05T07:52:46.739Z,82
2022-10-05T07:52:48.638Z,81
2022-10-05T07:53:05.058Z,82
2022-10-05T07:53:06.937Z,81
2022-10-05T07:53:14.233Z,82
2022-10-05T07:53:16.441Z,81
2022-10-05T07:53:26.643Z,82
2022-10-05T07:53:28.525Z,81
2022-10-05T07:54:12.824Z,82
2022-10-05T07:54:14.715Z,81
2022-10-05T07:54:31.822Z,82
2022-10-05T07:54:33.712Z,81
2022-10-05T07:54:38.798Z,82
2022-10-05T07:54:40.691Z,81
2022-10-05T07:54:43.903Z,82
2022-10-05T07:54:45.761Z,81
2022-10-05T07:55:02.283Z,82
